syntagme,A,B,relation,split,det,definitude,ambigu,candidats
discours du président,discours,président,r_processus_agent,train,Det,Def,non,
plaidoirie de l'avocat,plaidoirie,avocat,r_processus_agent,train,Det,Def,non,
opération d'un chirurgien,opération,chirurgien,r_processus_agent,train,Det,NoDef,non,
concert d'un pianiste,concert,pianiste,r_processus_agent,train,Det,NoDef,non,
course du sprinteur,course,sprinteur,r_processus_agent,train,Det,Def,non,
intervention du policier,intervention,policier,r_processus_agent,train,Det,Def,non,
prêche de l'imam,prêche,imam,r_processus_agent,train,Det,Def,non,
sermon d'un curé,sermon,curé,r_processus_agent,train,Det,NoDef,non,
conférence du chercheur,conférence,chercheur,r_processus_agent,train,Det,Def,non,
leçon de l'instituteur,leçon,instituteur,r_processus_agent,train,Det,Def,non,
fouille de l'archéologue,fouille,archéologue,r_processus_agent,train,Det,Def,non,
plongée du scaphandrier,plongée,scaphandrier,r_processus_agent,train,Det,Def,non,
envol de la cigogne,envol,cigogne,r_processus_agent,train,Det,Def,non,
migration des hirondelles,migration,hirondelles,r_processus_agent,train,Det,Def,non,
galop du cheval,galop,cheval,r_processus_agent,train,Det,Def,non,
aboiement du chien,aboiement,chien,r_processus_agent,train,Det,Def,non,
rugissement du lion,rugissement,lion,r_processus_agent,train,Det,Def,non,
chant du rossignol,chant,rossignol,r_processus_agent,train,Det,Def,non,
morsure du serpent,morsure,serpent,r_processus_agent,train,Det,Def,non,
piqûre du moustique,piqûre,moustique,r_processus_agent,train,Det,Def,non,
danse de la ballerine,danse,ballerine,r_processus_agent,train,Det,Def,non,
performance de l'acrobate,performance,acrobate,r_processus_agent,train,Det,Def,non,
numéro d'un clown,numéro,clown,r_processus_agent,train,Det,NoDef,non,
tournée du chanteur,tournée,chanteur,r_processus_agent,train,Det,Def,non,
grève des cheminots,grève,cheminots,r_processus_agent,train,Det,Def,non,
manifestation des étudiants,manifestation,étudiants,r_processus_agent,train,Det,Def,non,
vote des députés,vote,députés,r_processus_agent,train,Det,Def,non,
décision du juge,décision,juge,r_processus_agent,train,Det,Def,non,
enquête de l'inspecteur,enquête,inspecteur,r_processus_agent,train,Det,Def,non,
diagnostic d'un médecin,diagnostic,médecin,r_processus_agent,train,Det,NoDef,non,
plaidoyer du militant,plaidoyer,militant,r_processus_agent,train,Det,Def,non,
négociation du syndicat,négociation,syndicat,r_processus_agent,train,Det,Def,non,
inspection du contrôleur,inspection,contrôleur,r_processus_agent,train,Det,Def,non,
audit du commissaire,audit,commissaire,r_processus_agent,train,Det,Def,non,
livraison d'un coursier,livraison,coursier,r_processus_agent,train,Det,NoDef,non,
réparation du plombier,réparation,plombier,r_processus_agent,train,Det,Def,non,
construction des maçons,construction,maçons,r_processus_agent,train,Det,Def,non,
récolte des vendangeurs,récolte,vendangeurs,r_processus_agent,train,Det,Def,non,
semis de l'agriculteur,semis,agriculteur,r_processus_agent,train,Det,Def,non,
traite du fermier,traite,fermier,r_processus_agent,train,Det,Def,non,
pêche des marins,pêche,marins,r_processus_agent,train,Det,Def,non,
patrouille des gendarmes,patrouille,gendarmes,r_processus_agent,train,Det,Def,non,
entraînement de l'équipe,entraînement,équipe,r_processus_agent,train,Det,Def,non,
offensive de l'armée,offensive,armée,r_processus_agent,train,Det,Def,non,
retraite des troupes,retraite,troupes,r_processus_agent,train,Det,Def,non,
ponte de la poule,ponte,poule,r_processus_agent,train,Det,Def,non,
nidification des oiseaux,nidification,oiseaux,r_processus_agent,train,Det,Def,non,
hibernation de l'ours,hibernation,ours,r_processus_agent,train,Det,Def,non,
mue du crabe,mue,crabe,r_processus_agent,train,Det,Def,non,
croissance des plantes,croissance,plantes,r_processus_agent,train,Det,Def,non,
commentaire du journaliste,commentaire,journaliste,r_processus_agent,test,Det,Def,non,
reportage du correspondant,reportage,correspondant,r_processus_agent,test,Det,Def,non,
examen de l'expert,examen,expert,r_processus_agent,test,Det,Def,non,
explication du professeur,explication,professeur,r_processus_agent,test,Det,Def,non,
démonstration du vendeur,démonstration,vendeur,r_processus_agent,test,Det,Def,non,
promesse du candidat,promesse,candidat,r_processus_agent,test,Det,Def,non,
démission du directeur,démission,directeur,r_processus_agent,test,Det,Def,non,
arbitrage de l'arbitre,arbitrage,arbitre,r_processus_agent,test,Det,Def,non,
saut d'un kangourou,saut,kangourou,r_processus_agent,test,Det,NoDef,non,
nage du dauphin,nage,dauphin,r_processus_agent,test,Det,Def,non,
vol d'un bourdon,vol,bourdon,r_processus_agent,test,Det,NoDef,non,
course de la gazelle,course,gazelle,r_processus_agent,test,Det,Def,non,
