terme,role,relations_associees,nb_occurrences,nb_candidats_ambigus
abattage,A,r_processus_patient,1,0
abbaye,A,r_lieu,1,0
abeille,B,r_holo,1,0
abeilles,B,r_processus_agent|r_product_of|r_quantificateur,3,0
aboiement,A,r_processus_agent,1,0
absurdité,A,r_has_property-1,1,0
académie,B,r_social_tie,1,0
acajou,A,r_lieu>origine,1,0
acajou,B,r_objet>matiere,1,0
accident,B,r_depict|r_has_causatif,2,0
accordéon,B,r_holo,1,0
accueil,B,r_has_property-1,1,0
accusé,B,r_social_tie,3,0
accès,B,r_processus>instr-1,1,0
achat,A,r_processus_patient,1,0
acidité,A,r_has_property-1,1,0
acier,A,r_product_of,1,0
acier,B,r_objet>matiere|r_quantificateur,2,0
aciérie,B,r_product_of,1,0
acouphènes,A,r_has_causatif,1,0
acrobate,B,r_processus_agent,1,0
adolescent,B,r_has_property-1,1,0
adolescente,B,r_own-1,1,0
adversaire,A,r_social_tie,1,0
affiche,A,r_product_of,1,0
Afrique du Sud,B,r_lieu>origine,0,1
Agen,B,r_lieu>origine,1,0
agence,A,r_topic,1,0
agence,B,r_social_tie,1,0
agilité,A,r_has_property-1,1,0
agrafe,A,r_processus>instr-1,1,0
agriculteur,B,r_processus_agent,1,0
aigle,B,r_depict,1,0
aiguille,A,r_holo|r_processus>instr-1,2,0
ail,B,r_quantificateur,1,0
aile,A,r_holo,2,0
air,B,r_has_property-1|r_processus_patient,2,0
alarme,A,r_processus>instr-1,1,0
album,A,r_product_of,1,0
albâtre,B,r_objet>matiere,1,0
alcool,B,r_has_causatif|r_processus_patient,2,0
Alexandrie,B,r_lieu,1,0
allié,A,r_social_tie,1,0
allocution,A,r_processus_agent,1,0
allée,A,r_holo,1,0
Alpes,B,r_lieu,1,0
alpiniste,B,r_has_property-1,1,0
aluminium,B,r_objet>matiere,1,0
amarrage,A,r_processus_patient,1,0
ambassadeur,A,r_social_tie,1,0
ambre,A,r_lieu>origine,1,0
amertume,A,r_has_causatif|r_has_property-1,2,0
ami,A,r_social_tie,1,0
ami,B,r_has_property-1,1,0
amour,B,r_topic,1,0
ampoules,A,r_has_causatif,1,0
Amsterdam,B,r_lieu,1,0
analyse,B,r_processus>instr-1,1,0
ananas,A,r_lieu>origine,1,0
Anatolie,B,r_lieu>origine,1,0
ancre,A,r_holo,1,0
anesthésie,B,r_has_causatif,1,0
animaux,B,r_topic,1,0
Annecy,B,r_lieu,1,0
annulation,A,r_processus_patient,1,0
année,A,r_quantificateur,1,0
antenne,A,r_holo,1,0
Antilles,B,r_lieu>origine,1,0
apiculteur,B,r_own-1|r_product_of,2,0
appareil,A,r_own-1,1,0
appartement,B,r_depict|r_processus_patient,2,0
applaudissements,A,r_processus_agent,1,0
applaudissements,B,r_quantificateur,1,0
apprenti,A,r_social_tie,1,0
aquarelle,A,r_depict,2,0
Arabie,B,r_lieu>origine,1,0
araignée,B,r_holo|r_product_of,2,0
arbitrage,A,r_processus_agent,1,0
arbitre,B,r_processus_agent,1,0
arbre,B,r_depict|r_holo,2,0
arbres,B,r_processus_patient,1,0
archange,B,r_depict,1,0
arche,A,r_holo,1,0
archet,A,r_own-1,1,0
archipel,B,r_depict,1,0
architecte,B,r_product_of,1,0
archives,B,r_processus_patient,1,0
archéologie,B,r_topic,1,0
archéologue,B,r_processus_agent,1,0
Arctique,B,r_lieu,1,0
ardoise,B,r_objet>matiere,1,0
argent,B,r_objet>matiere,1,0
Argentine,B,r_lieu>origine,1,0
argile,A,r_lieu>origine,1,0
argile,B,r_objet>matiere,1,0
armateur,B,r_own-1,1,0
armoire,A,r_objet>matiere,1,0
armée,B,r_processus_agent,1,0
arrogance,A,r_has_property-1,1,0
arrosage,B,r_processus>instr-1,1,0
article,A,r_product_of,1,0
article,B,r_processus_patient,1,0
artisan,B,r_own-1|r_product_of,2,0
artiste,B,r_own-1,1,0
aspiration,B,r_processus>instr-1,1,0
Assam,B,r_lieu>origine,1,0
assemblage,A,r_processus_patient,1,0
assemblage,B,r_processus>instr-1,1,0
assiette,A,r_objet>matiere|r_quantificateur,2,0
assistante,A,r_social_tie,1,0
association,B,r_social_tie,1,0
atelier,A,r_own-1|r_topic,2,0
attaque,A,r_processus_agent,1,0
attelle,A,r_processus>instr-1,1,0
attentat,B,r_has_causatif,1,0
audit,A,r_processus_agent,1,0
aurores,A,r_lieu,1,0
auscultation,B,r_processus>instr-1,1,0
Australie,B,r_lieu|r_lieu>origine,2,0
auteur,B,r_product_of,1,0
automobile,B,r_topic,1,0
Auvergne,B,r_lieu,1,0
avarice,A,r_has_property-1,1,0
avaries,A,r_has_causatif,1,0
AVC,B,r_has_causatif,1,0
aventure,B,r_topic,1,0
Avignon,B,r_lieu,2,0
avion,B,r_depict|r_holo,2,0
avocat,A,r_social_tie,1,0
avocat,B,r_own-1|r_processus_agent,2,0
avocats,A,r_lieu>origine,1,0
aéroport,A,r_lieu,1,0
aéroport,B,r_holo,1,0
bac,A,r_processus>instr-1,1,0
badge,A,r_own-1|r_processus>instr-1,2,0
Bagan,B,r_lieu,1,0
bagarre,B,r_has_causatif,1,0
bague,A,r_objet>matiere|r_own-1,2,0
bailleur,A,r_social_tie,1,0
balai,A,r_processus>instr-1,1,0
balance,A,r_processus>instr-1,1,0
balcon,B,r_holo,1,0
Bali,B,r_lieu,1,0
ballerine,B,r_processus_agent,1,0
Baltique,B,r_lieu>origine,1,0
bambou,B,r_objet>matiere,1,0
banane,B,r_holo,1,0
bananes,A,r_lieu>origine,1,0
banc,A,r_quantificateur,1,0
Bangkok,B,r_lieu,1,0
banquier,B,r_depict|r_own-1,2,0
banquise,A,r_lieu,1,0
barman,B,r_product_of,1,0
baron,B,r_social_tie,1,0
barque,A,r_own-1,1,0
barque,B,r_depict|r_holo,2,0
barrage,B,r_processus_patient,1,0
barre,A,r_quantificateur,1,0
bas-relief,A,r_depict,1,0
basilique,B,r_holo,1,0
bataille,B,r_depict,1,0
bateau,A,r_own-1,1,0
bateau,B,r_holo|r_processus_patient,2,0
Bath,B,r_lieu,1,0
bayous,A,r_lieu,1,0
bazar,A,r_lieu,1,0
beau-père,A,r_social_tie,1,0
beauté,A,r_has_property-1,1,0
beauté,B,r_topic,1,0
bec,A,r_holo,1,0
Belges,B,r_social_tie,1,0
Belgique,B,r_lieu>origine,1,0
belle-sœur,A,r_social_tie,1,0
Bengale,B,r_lieu>origine,1,0
berger,A,r_lieu>origine|r_social_tie,2,0
berger,B,r_own-1,1,0
beurre,B,r_processus_patient|r_quantificateur,2,0
Biarritz,B,r_lieu,1,0
bibliothèque,A,r_lieu|r_own-1,2,0
bidonvilles,A,r_lieu,1,0
bijou,A,r_objet>matiere|r_product_of,2,0
bijoutier,B,r_own-1,1,0
bijoux,A,r_own-1,1,0
biologie,B,r_topic,1,0
bioéthique,B,r_topic,1,0
bière,A,r_lieu>origine|r_product_of,2,0
blancheur,A,r_has_property-1,1,0
blason,A,r_depict,1,0
blessures,A,r_has_causatif,1,0
bleus,A,r_has_causatif,1,0
bloc,A,r_quantificateur,1,0
blog,A,r_topic,1,0
blouse,A,r_objet>matiere,1,0
blé,B,r_processus_patient|r_quantificateur,2,0
bocal,A,r_objet>matiere|r_quantificateur,2,0
Bohême,B,r_lieu>origine,1,0
bois,A,r_lieu>origine,1,0
bois,B,r_objet>matiere|r_quantificateur,3,0
bol,A,r_objet>matiere|r_quantificateur,2,0
bonhomme,A,r_objet>matiere,1,0
bonté,A,r_has_property-1,1,0
Bordeaux,B,r_lieu|r_lieu>origine,2,0
Bornéo,B,r_lieu,1,0
bosse,A,r_holo,1,0
botte,A,r_quantificateur,1,0
bouchon,A,r_objet>matiere,1,0
bouchée,A,r_quantificateur,1,0
boucle,A,r_objet>matiere,1,0
bougie,A,r_objet>matiere,1,0
bouillon,B,r_quantificateur,1,0
boulanger,B,r_own-1|r_product_of,3,0
boule,A,r_quantificateur,1,0
bouleau,B,r_holo,1,0
bouquet,A,r_quantificateur,1,0
bourdon,B,r_processus_agent,1,0
Bourgogne,B,r_lieu,1,0
bouteille,B,r_processus>instr-1,1,0
bouteilles,B,r_processus_patient,1,0
boutique,A,r_own-1|r_topic,2,0
bouton,A,r_holo,1,0
boxeur,B,r_own-1,1,0
boîte,A,r_objet>matiere,1,0
branche,A,r_holo,1,0
brasseur,B,r_product_of,1,0
brassée,A,r_quantificateur,1,0
bravoure,A,r_has_property-1,1,0
Bresse,B,r_lieu>origine,1,0
Bretagne,B,r_lieu>origine,1,0
bricolage,B,r_topic,1,0
bricoleur,B,r_own-1,1,0
brin,A,r_quantificateur,1,0
brique,A,r_product_of,1,0
brique,B,r_objet>matiere,1,0
briqueterie,B,r_product_of,1,0
brise,A,r_topic,1,0
brise,B,r_has_property-1,1,0
brochure,A,r_topic,1,0
Brocéliande,B,r_lieu,1,0
bronzage,A,r_has_causatif,1,0
bronze,B,r_objet>matiere,1,0
brosse,A,r_objet>matiere,1,0
brouillard,A,r_lieu,1,0
brouillard,B,r_has_property-1,1,0
brouille,A,r_has_causatif,1,0
broyage,A,r_processus_patient,1,0
broyage,B,r_processus>instr-1,1,0
broyeur,A,r_processus>instr-1,1,0
brûlure,B,r_has_causatif,1,0
brûlures,A,r_has_causatif,1,0
buffet,A,r_objet>matiere,1,0
bureau,A,r_own-1|r_topic,2,0
bus,A,r_topic,1,0
buste,A,r_depict,2,0
but,B,r_depict,1,0
buée,A,r_has_causatif,1,0
bâtiment,B,r_has_property-1,1,0
bébé,B,r_processus_agent,1,0
bénéfices,A,r_has_causatif,1,0
béquille,A,r_processus>instr-1,1,0
bétail,B,r_processus_patient,1,0
béton,B,r_objet>matiere,1,0
cabinet,A,r_own-1,1,0
cacao,A,r_lieu>origine,0,1
cacao de Côte,A,r_lieu>origine,0,1
Cachemire,B,r_lieu>origine,1,0
cachemire,B,r_objet>matiere,1,0
cadenas,B,r_processus>instr-1,1,0
cadran,A,r_holo,1,0
café,A,r_lieu>origine,2,0
café,B,r_has_property-1|r_processus_patient|r_quantificateur,3,0
cageot,A,r_quantificateur,1,0
cahier,A,r_own-1,1,0
cahier,B,r_holo,1,0
Caire,B,r_lieu,1,0
caisse,A,r_own-1|r_quantificateur,2,0
Calais,B,r_lieu>origine,1,0
calcul,B,r_processus>instr-1,1,0
Californie,B,r_lieu,1,0
Camargue,B,r_lieu|r_lieu>origine,2,0
Cambridge,B,r_lieu,1,0
camion,A,r_own-1|r_processus>instr-1,2,0
camion,B,r_holo|r_processus_patient,2,0
camionnette,A,r_own-1,1,0
campeur,B,r_own-1,1,0
caméra,A,r_processus>instr-1,1,0
caméra,B,r_holo,1,0
canal,A,r_lieu,1,0
canaux,A,r_lieu,2,0
candidat,B,r_processus_agent|r_social_tie,2,0
canicule,A,r_lieu,1,0
canicule,B,r_has_causatif,1,0
canne,A,r_own-1,1,0
canon,A,r_holo,1,0
caoutchouc,B,r_objet>matiere,1,0
capitaine,A,r_social_tie,2,0
capitaine,B,r_social_tie,1,0
carapace,A,r_holo,1,0
caravelle,B,r_depict,1,0
cargaison,B,r_processus_patient,1,0
caricature,A,r_depict,2,0
caries,A,r_has_causatif,1,0
carnaval,A,r_lieu,1,0
carnet,A,r_topic,1,0
Carrare,B,r_lieu>origine,1,0
carrelage,B,r_objet>matiere,1,0
cartable,A,r_own-1,1,0
carte,A,r_depict|r_own-1,3,0
carton,B,r_objet>matiere,1,0
cartouche,A,r_processus>instr-1,1,0
cascades,A,r_lieu,1,0
casino,A,r_lieu,1,0
Caspienne,B,r_lieu>origine,1,0
casque,A,r_own-1,1,0
casserole,A,r_objet>matiere,1,0
castor,B,r_holo,1,0
cathédrale,A,r_lieu,1,0
cathédrale,B,r_depict,1,0
Cavaillon,B,r_lieu>origine,1,0
cavalerie,B,r_processus_agent,1,0
cavalier,B,r_own-1,1,0
cave,A,r_own-1,1,0
cave,B,r_has_property-1,1,0
caves,B,r_processus_patient,1,0
caviar,A,r_lieu>origine,2,0
cellule,B,r_depict,1,0
cendres,A,r_has_causatif,1,0
centaine,A,r_quantificateur,1,0
centre,A,r_topic,1,0
cerf,B,r_has_property-1,1,0
cerveau,B,r_depict,1,0
Ceylan,B,r_lieu>origine,1,0
chagrin,A,r_has_causatif,1,0
chaise,A,r_product_of,1,0
Chambord,B,r_lieu,1,0
chambre,B,r_has_property-1,1,0
chameau,B,r_holo,1,0
champagne,B,r_has_causatif,1,0
champion,B,r_has_property-1|r_social_tie,3,0
championnat,A,r_topic,1,0
championne,B,r_own-1,1,0
chanson,A,r_product_of,1,0
chanson,B,r_holo,1,0
chant,A,r_processus_agent,1,0
chanteur,B,r_own-1|r_processus_agent,2,0
chantier,B,r_has_causatif,1,0
chanvre,B,r_objet>matiere,1,0
chapeau,A,r_objet>matiere|r_product_of,3,0
chapitre,A,r_holo,1,0
charbon,A,r_lieu>origine,1,0
charbon,B,r_processus_patient,1,0
charcutier,B,r_product_of,1,0
charge,A,r_processus_agent,1,0
chargement,A,r_processus_patient,1,0
chariot,B,r_holo,1,0
charpente,A,r_objet>matiere,1,0
charrette,A,r_own-1,1,0
Chartres,B,r_lieu,1,0
chasse,B,r_depict|r_processus>instr-1|r_topic,3,0
chasseur,B,r_own-1,1,0
chat,A,r_lieu>origine,1,0
chaton,B,r_has_property-1,1,0
chaudière,A,r_processus>instr-1,1,0
chauffage,B,r_processus>instr-1,1,0
chauffeur,A,r_social_tie,1,0
chaussettes,B,r_quantificateur,1,0
chaussure,B,r_holo,1,0
chaussures,A,r_objet>matiere|r_own-1|r_product_of,3,0
chaussures,B,r_topic,1,0
chaîne,A,r_holo|r_topic,2,0
chef,A,r_social_tie,2,0
chef,B,r_product_of,1,0
cheminots,B,r_processus_agent,1,0
cheminée,A,r_holo,1,0
chemise,A,r_objet>matiere,1,0
chemise,B,r_holo,1,0
chemises,B,r_processus_patient,1,0
chercheur,B,r_has_property-1|r_processus_agent,2,0
cheval,A,r_own-1,1,0
cheval,B,r_depict|r_holo|r_processus_agent|r_processus_patient,4,0
chevalet,A,r_own-1,1,0
chevalier,B,r_depict,1,0
chevaux,A,r_lieu>origine|r_own-1,2,0
cheveux,B,r_quantificateur,1,0
chien,A,r_own-1,1,0
chien,B,r_has_property-1|r_processus_agent|r_social_tie,3,0
chiffrement,A,r_processus_patient,1,0
Chili,B,r_lieu,1,0
chimie,B,r_topic,1,0
Chine,B,r_lieu|r_lieu>origine,2,0
chiot,B,r_processus_patient,1,0
chirurgien,B,r_processus_agent,1,0
choc,B,r_has_causatif,1,0
chocolat,A,r_lieu>origine|r_product_of,2,0
chocolat,B,r_quantificateur,1,0
chocolatier,B,r_product_of,1,0
chute,B,r_has_causatif,1,0
château,A,r_lieu|r_objet>matiere,2,0
château,B,r_depict,1,0
chêne,B,r_holo|r_objet>matiere,2,0
cicatrice,A,r_has_causatif,1,0
cidre,B,r_quantificateur,1,0
ciel,B,r_has_property-1,1,0
cigares,A,r_lieu>origine,1,0
cigogne,B,r_processus_agent,1,0
ciment,A,r_product_of,1,0
ciment,B,r_quantificateur,1,0
cimenterie,B,r_product_of,1,0
cinéma,B,r_topic,1,0
circuit,B,r_depict,1,0
circulation,B,r_has_causatif,1,0
cire,A,r_product_of,1,0
cire,B,r_objet>matiere,1,0
ciseaux,A,r_processus>instr-1,1,0
citron,B,r_has_property-1,1,0
clarté,A,r_has_property-1,1,0
classe,B,r_social_tie,1,0
clavier,A,r_holo,1,0
cliché,A,r_depict,1,0
client,A,r_social_tie,1,0
client,B,r_has_property-1|r_own-1,2,0
clip,A,r_product_of,1,0
clocher,A,r_holo,1,0
cloison,A,r_objet>matiere,1,0
cloques,A,r_has_causatif,1,0
clou,A,r_processus>instr-1,1,0
clown,B,r_processus_agent,1,0
club,A,r_topic,1,0
club,B,r_social_tie,1,0
clé,A,r_processus>instr-1,3,0
clés,A,r_own-1,1,0
cocktail,A,r_product_of,1,0
code,A,r_processus>instr-1,1,0
coffre,A,r_own-1,1,0
coffre,B,r_holo|r_processus>instr-1,2,0
coiffure,B,r_topic,1,0
col,A,r_holo,1,0
colis,B,r_processus_patient,1,0
colisée,A,r_lieu,1,0
collectionneur,B,r_own-1,1,0
collier,A,r_objet>matiere|r_own-1,2,0
collines,A,r_lieu,1,0
colloque,A,r_topic,1,0
collègue,A,r_social_tie,1,0
colombe,B,r_depict,1,0
Colombie,B,r_lieu>origine,1,0
colonel,A,r_social_tie,1,0
colonne,A,r_objet>matiere,1,0
combustion,B,r_has_causatif,1,0
comité,A,r_topic,1,0
comité,B,r_social_tie,1,0
commandant,A,r_social_tie,1,0
commentaire,A,r_processus_agent,1,0
commerce,B,r_topic,1,0
commerçant,B,r_own-1,1,0
commissaire,B,r_processus_agent,1,0
commission,A,r_topic,1,0
commune,B,r_social_tie,1,0
complexité,A,r_has_property-1,1,0
complice,A,r_social_tie,1,0
compositeur,B,r_product_of,1,0
compression,A,r_processus_patient,1,0
comptable,B,r_has_property-1,1,0
compte,B,r_processus_patient,1,0
comptoir,A,r_objet>matiere,1,0
comtesse,B,r_own-1|r_social_tie,2,0
comédie,A,r_topic,1,0
concert,A,r_processus_agent|r_topic,2,0
concert,B,r_depict|r_has_causatif|r_processus_patient,3,0
concours,A,r_topic,1,0
conducteur,B,r_has_property-1,1,0
conduite,B,r_topic,1,0
confinement,B,r_has_causatif,1,0
confiture,A,r_product_of,1,0
confiture,B,r_quantificateur,1,0
conflit,B,r_has_causatif,1,0
conférence,A,r_processus_agent|r_topic,2,0
congélation,A,r_processus_patient,1,0
conseiller,A,r_social_tie,1,0
conserve,B,r_processus>instr-1,1,0
constructeur,B,r_product_of,1,0
construction,A,r_processus_agent|r_processus_patient,2,0
conséquences,A,r_has_causatif,1,0
conte,A,r_topic,1,0
conte,B,r_depict,1,0
contrôle,B,r_processus>instr-1,1,0
contrôleur,B,r_processus_agent,1,0
copeau,A,r_quantificateur,1,0
copies,B,r_processus_patient,1,0
copropriété,B,r_social_tie,1,0
coque,A,r_objet>matiere,1,0
coquille,A,r_holo,1,0
corail,B,r_objet>matiere,1,0
corde,A,r_holo|r_objet>matiere|r_processus>instr-1,3,0
cordonnier,B,r_product_of,1,0
Cordouan,B,r_lieu,1,0
Corinthe,B,r_lieu>origine,1,0
corne,A,r_holo,1,0
corne,B,r_objet>matiere,1,0
correction,A,r_processus_patient,1,0
correspondant,A,r_social_tie,1,0
correspondant,B,r_processus_agent,1,0
costume,A,r_product_of,1,0
coton,A,r_lieu>origine,1,0
coton,B,r_objet>matiere,1,0
coupe,B,r_processus>instr-1,1,0
courage,B,r_quantificateur,1,0
courbatures,A,r_has_causatif,1,0
coureur,B,r_own-1,1,0
cours,A,r_topic,2,0
course,A,r_processus_agent,2,0
coursier,B,r_processus_agent,1,0
court-circuit,B,r_has_causatif,1,0
cousin,A,r_social_tie,1,0
couteau,A,r_processus>instr-1,1,0
couteau,B,r_holo,1,0
couteaux,A,r_lieu>origine|r_own-1,2,0
couture,B,r_processus>instr-1,1,0
couturière,B,r_product_of,1,0
couverts,A,r_objet>matiere,1,0
couverture,A,r_holo,1,0
couvreur,B,r_own-1,1,0
crabe,B,r_processus_agent,1,0
cratère,A,r_has_causatif,1,0
crayon,A,r_processus>instr-1,1,0
creusement,A,r_processus_agent|r_processus_patient,2,0
crime,B,r_depict,1,0
crin,B,r_objet>matiere,1,0
crinière,A,r_holo,1,0
criquet,B,r_holo,1,0
cris,A,r_has_causatif,1,0
crise,B,r_has_causatif,1,0
cristal,A,r_lieu>origine,1,0
cristal,B,r_has_property-1|r_objet>matiere,2,0
croissance,A,r_processus_agent,1,0
croissant,A,r_product_of,1,0
croquis,A,r_depict,2,0
cruauté,A,r_has_property-1,1,0
crâne,B,r_depict,1,0
Cuba,B,r_lieu>origine,1,0
cueillette,A,r_processus_patient,1,0
cuillère,A,r_quantificateur,1,0
cuir,A,r_lieu>origine,1,0
cuir,B,r_has_property-1|r_objet>matiere,2,0
cuisine,B,r_has_property-1|r_topic,2,0
cuisinier,B,r_own-1|r_product_of,2,0
cuisson,A,r_processus_patient,1,0
cuisson,B,r_has_causatif|r_processus>instr-1,2,0
cuivre,B,r_objet>matiere,1,0
curieux,B,r_quantificateur,1,0
curiosité,A,r_has_property-1,1,0
curry,A,r_lieu>origine,1,0
curé,B,r_processus_agent,1,0
cécité,A,r_has_causatif,1,0
céramique,B,r_objet>matiere,1,0
cérémonie,B,r_depict,1,0
Côte d'Ivoire,B,r_lieu>origine,0,1
daim,B,r_objet>matiere,1,0
dalle,A,r_objet>matiere,1,0
danse,A,r_processus_agent,1,0
danseuse,B,r_depict|r_has_property-1|r_own-1,3,0
dard,A,r_holo,1,0
dattes,A,r_lieu>origine,1,0
dauphin,B,r_depict|r_processus_agent,2,0
dentelle,A,r_lieu>origine,1,0
dentelle,B,r_has_property-1,1,0
dessin,A,r_depict|r_product_of,3,0
dessin,B,r_processus>instr-1,1,0
destruction,A,r_processus_patient,1,0
dettes,A,r_has_causatif,1,0
devoir,A,r_topic,1,0
diagnostic,A,r_processus_agent,1,0
diagramme,A,r_depict,1,0
diamant,B,r_has_property-1,1,0
diamants,A,r_lieu>origine,0,1
diamants d'Afrique,A,r_lieu>origine,0,1
dictionnaire,A,r_topic,1,0
