id,nom,description
0,r_associated,Il est demandé d'énumérer les termes les plus étroitement associés au mot cible... Ce mot vous fait penser à quoi ? - [1 ≤ q=1 ≤ 1]
1,r_raff_sem,Raffinement sémantique vers un usage particulier du terme source - [conversif : r_raff_sem-1] - [1 ≤ q=2.5 ≤ 1]
2,r_raff_morpho,Raffinement morphologique vers un usage particulier du terme source - [1 ≤ q=4 ≤ 1]
3,r_domain,"Il est demandé de fournir des domaines relatifs au mot cible. Par exemple, pour 'corner', on pourra donner les domaines 'football' ou 'sport'. - [conversif : r_domain-1] - [1 ≤ q=1 ≤ 2]"
4,r_pos,"Partie du discours (Nom, Verbe, Adjectif, Adverbe, etc.) - [1 ≤ q=1.5 ≤ 2]"
5,r_syn,Il est demandé d'énumérer les synonymes ou quasi-synonymes de ce terme. - [conversif : r_syn] - [1 ≤ q=1 ≤ 5]
6,r_isa,"Il est demandé d'énumérer les GENERIQUES/hyperonymes du terme. Par exemple, 'animal' et 'mammifère' sont des génériques de 'chat'. - [conversif : r_hypo] - [1 ≤ q=1 ≤ 2]"
7,r_anto,"Il est demandé d'énumérer des contraires du terme. Par exemple, 'chaud' est le contraire de 'froid'. - [conversif : r_anto] - [1 ≤ q=1 ≤ 2]"
8,r_hypo,"Il est demandé d'énumérer des SPECIFIQUES/hyponymes du terme. Par exemple, 'mouche', 'abeille', 'guêpe' pour 'insecte'. - [conversif : r_isa] - [1 ≤ q=1.69 ≤ 2]"
9,r_has_part,"Il faut donner des PARTIES/constituants/éléments (a pour méronymes) du mot cible. Par exemple, 'voiture' a comme parties : 'porte', 'roue', 'moteur', ... - [conversif : r_holo] - [1 ≤ q=1 ≤ 2]"
10,r_holo,"Il est démandé d'énumérer des 'TOUT' (a pour holonymes) de l'objet en question. Pour 'main', on aura 'bras', 'corps', 'personne', etc... Le tout est aussi l'ensemble comme 'classe' pour 'élève'. - [conversif : r_has_part] - [1 ≤ q=1 ≤ 2]"
11,r_locution,"A partir d'un terme, il est demandé d'énumérer les locutions, expression ou mots composés en rapport avec ce terme. Par exemple, pour 'moulin', ou pourra avoir 'moulin à vent', 'moulin à eau', 'moulin à café'. Pour 'vendre', on pourra avoir 'vendre la peau de l'ours avant de l'avoir tué', 'vendre à perte', etc.. - [1 ≤ q=1 ≤ 3]"
12,r_flpot,(relation interne) potentiel de relation - [1 ≤ q=1 ≤ 1]
13,r_agent,"L'agent (qu'on appelle aussi le sujet) est l'entité qui effectue l'action, OU la subit pour des formes passives ou des verbes d'état. Par exemple, dans - Le chat mange la souris -, l'agent est le chat. Des agents typiques de 'courir' peuvent être 'sportif', 'enfant',... (manger r_agent chat) - [conversif : r_agent-1] - [2 ≤ q=9.94 ≤ 10]"
14,r_patient,"Le patient (qu'on appelle aussi l'objet) est l'entité qui subit l'action. Par exemple dans - Le chat mange la souris -, le patient est la souris. Des patients typiques de manger peuvent être 'viande', 'légume', 'pain', ... (manger r_patient pain) - [conversif : r_patient-1] - [2 ≤ q=5.18 ≤ 10]"
15,r_lieu,Il est demandé d'énumérer les LIEUX typiques où peut se trouver le terme/objet en question. (carotte r_lieu potager) - [conversif : r_lieu-1] - [1 ≤ q=1 ≤ 2]
16,r_instr,"L'instrument est l'objet avec lequel on fait l'action. Dans - Il mange sa salade avec une fourchette -, fourchette est l'instrument. Des instruments typiques de 'tuer' peuvent être 'arme', 'pistolet', 'poison', ... (couper r_instr couteau) - [conversif : r_instr-1] - [1 ≤ q=1 ≤ 2]"
17,r_carac,"Pour un terme donné, souvent un objet, il est demandé d'en énumérer les CARACtéristiques (adjectifs) possibles/typiques. Par exemple, 'liquide', 'froide', 'chaude', pour 'eau'. - [conversif : r_carac-1] - [1 ≤ q=2.35 ≤ 5]"
18,r_data,Informations diverses (plutôt d'ordre lexicales) - [1 ≤ q=2 ≤ 1]
