syntagme,A,B,relation,split,det,definitude,ambigu,candidats
photo d'un mariage,photo,mariage,r_depict,train,Det,NoDef,non,
peinture d'une cathédrale,peinture,cathédrale,r_depict,train,Det,NoDef,non,
portrait d'une reine,portrait,reine,r_depict,train,Det,NoDef,non,
dessin d'un cheval,dessin,cheval,r_depict,train,Det,NoDef,non,
croquis d'une main,croquis,main,r_depict,train,Det,NoDef,non,
statue d'un lion,statue,lion,r_depict,train,Det,NoDef,non,
buste d'un empereur,buste,empereur,r_depict,train,Det,NoDef,non,
gravure d'un navire,gravure,navire,r_depict,train,Det,NoDef,non,
fresque d'une bataille,fresque,bataille,r_depict,train,Det,NoDef,non,
esquisse d'un visage,esquisse,visage,r_depict,train,Det,NoDef,non,
caricature d'un député,caricature,député,r_depict,train,Det,NoDef,non,
aquarelle d'un jardin,aquarelle,jardin,r_depict,train,Det,NoDef,non,
maquette d'un stade,maquette,stade,r_depict,train,Det,NoDef,non,
plan d'un appartement,plan,appartement,r_depict,train,Det,NoDef,non,
carte d'une région,carte,région,r_depict,train,Det,NoDef,non,
schéma d'un moteur,schéma,moteur,r_depict,train,Det,NoDef,non,
diagramme d'un circuit,diagramme,circuit,r_depict,train,Det,NoDef,non,
illustration d'un conte,illustration,conte,r_depict,train,Det,NoDef,non,
vignette d'une scène,vignette,scène,r_depict,train,Det,NoDef,non,
photographie d'un glacier,photographie,glacier,r_depict,train,Det,NoDef,non,
vidéo d'un accident,vidéo,accident,r_depict,train,Det,NoDef,non,
enregistrement d'un discours,enregistrement,discours,r_depict,train,Det,NoDef,non,
film d'une cérémonie,film,cérémonie,r_depict,train,Det,NoDef,non,
sculpture d'une danseuse,sculpture,danseuse,r_depict,train,Det,NoDef,non,
mosaïque d'une déesse,mosaïque,déesse,r_depict,train,Det,NoDef,non,
vitrail d'un saint,vitrail,saint,r_depict,train,Det,NoDef,non,
icône d'une vierge,icône,vierge,r_depict,train,Det,NoDef,non,
effigie d'un roi,effigie,roi,r_depict,train,Det,NoDef,non,
médaillon d'un enfant,médaillon,enfant,r_depict,train,Det,NoDef,non,
silhouette de la ville,silhouette,ville,r_depict,train,Det,Def,non,
pastel d'une falaise,pastel,falaise,r_depict,train,Det,NoDef,non,
fusain d'un arbre,fusain,arbre,r_depict,train,Det,NoDef,non,
miniature d'une caravelle,miniature,caravelle,r_depict,train,Det,NoDef,non,
bas-relief d'une procession,bas-relief,procession,r_depict,train,Det,NoDef,non,
moulage d'un crâne,moulage,crâne,r_depict,train,Det,NoDef,non,
