syntagme,A,B,relation,split,det,definitude,ambigu,candidats
générosité du mécène,générosité,mécène,r_has_property-1,train,Det,Def,non,
naïveté de l'enfant,naïveté,enfant,r_has_property-1,train,Det,Def,non,
cruauté du tyran,cruauté,tyran,r_has_property-1,train,Det,Def,non,
fragilité du cristal,fragilité,cristal,r_has_property-1,train,Det,Def,non,
patience du pêcheur,patience,pêcheur,r_has_property-1,train,Det,Def,non,
dureté du diamant,dureté,diamant,r_has_property-1,train,Det,Def,non,
timidité de l'adolescent,timidité,adolescent,r_has_property-1,train,Det,Def,non,
blancheur de la neige,blancheur,neige,r_has_property-1,train,Det,Def,non,
humilité du moine,humilité,moine,r_has_property-1,train,Det,Def,non,
profondeur du puits,profondeur,puits,r_has_property-1,train,Det,Def,non,
loyauté du chien,loyauté,chien,r_has_property-1,train,Det,Def,non,
amertume du café,amertume,café,r_has_property-1,train,Det,Def,non,
bravoure du pompier,bravoure,pompier,r_has_property-1,train,Det,Def,non,
transparence de la vitre,transparence,vitre,r_has_property-1,train,Det,Def,non,
maladresse du stagiaire,maladresse,stagiaire,r_has_property-1,train,Det,Def,non,
lenteur de l'escargot,lenteur,escargot,r_has_property-1,train,Det,Def,non,
élégance de la danseuse,élégance,danseuse,r_has_property-1,train,Det,Def,non,
hauteur de la tour,hauteur,tour,r_has_property-1,train,Det,Def,non,
discrétion du majordome,discrétion,majordome,r_has_property-1,train,Det,Def,non,
souplesse du cuir,souplesse,cuir,r_has_property-1,train,Det,Def,non,
sérénité du sage,sérénité,sage,r_has_property-1,train,Det,Def,non,
obscurité de la grotte,obscurité,grotte,r_has_property-1,train,Det,Def,non,
froideur de l'accueil,froideur,accueil,r_has_property-1,train,Det,Def,non,
rapidité du guépard,rapidité,guépard,r_has_property-1,train,Det,Def,non,
rigueur du comptable,rigueur,comptable,r_has_property-1,train,Det,Def,non,
humidité de la cave,humidité,cave,r_has_property-1,train,Det,Def,non,
sévérité du juge,sévérité,juge,r_has_property-1,train,Det,Def,non,
légèreté de la plume,légèreté,plume,r_has_property-1,train,Det,Def,non,
curiosité du chaton,curiosité,chaton,r_has_property-1,train,Det,Def,non,
acidité du citron,acidité,citron,r_has_property-1,train,Det,Def,non,
entêtement de la mule,entêtement,mule,r_has_property-1,train,Det,Def,non,
vétusté de l'immeuble,vétusté,immeuble,r_has_property-1,train,Det,Def,non,
politesse de l'hôte,politesse,hôte,r_has_property-1,train,Det,Def,non,
clarté du ciel,clarté,ciel,r_has_property-1,train,Det,Def,non,
malice du renard,malice,renard,r_has_property-1,train,Det,Def,non,
étroitesse de la ruelle,étroitesse,ruelle,r_has_property-1,train,Det,Def,non,
férocité du loup,férocité,loup,r_has_property-1,train,Det,Def,non,
propreté de la cuisine,propreté,cuisine,r_has_property-1,train,Det,Def,non,
arrogance du champion,arrogance,champion,r_has_property-1,train,Det,Def,non,
solidité du pont,solidité,pont,r_has_property-1,train,Det,Def,non,
ferveur des supporters,ferveur,supporters,r_has_property-1,train,Det,Def,non,
complexité du problème,complexité,problème,r_has_property-1,train,Det,Def,non,
prudence du conducteur,prudence,conducteur,r_has_property-1,train,Det,Def,non,
richesse du vocabulaire,richesse,vocabulaire,r_has_property-1,train,Det,Def,non,
témérité de l'alpiniste,témérité,alpiniste,r_has_property-1,train,Det,Def,non,
beauté d'un paysage,beauté,paysage,r_has_property-1,train,Det,NoDef,non,
gentillesse de la voisine,gentillesse,voisine,r_has_property-1,train,Det,Def,non,
fiabilité du moteur,fiabilité,moteur,r_has_property-1,train,Det,Def,non,
lâcheté du déserteur,lâcheté,déserteur,r_has_property-1,train,Det,Def,non,
immensité du désert,immensité,désert,r_has_property-1,train,Det,Def,non,
ténacité du chercheur,ténacité,chercheur,r_has_property-1,test,Det,Def,non,
finesse de la dentelle,finesse,dentelle,r_has_property-1,test,Det,Def,non,
indulgence du professeur,indulgence,professeur,r_has_property-1,test,Det,Def,non,
opacité du brouillard,opacité,brouillard,r_has_property-1,test,Det,Def,non,
franchise de l'ami,franchise,ami,r_has_property-1,test,Det,Def,non,
douceur du velours,douceur,velours,r_has_property-1,test,Det,Def,non,
impatience du client,impatience,client,r_has_property-1,test,Det,Def,non,
largeur de la route,largeur,route,r_has_property-1,test,Det,Def,non,
agilité du singe,agilité,singe,r_has_property-1,test,Det,Def,non,
moiteur de l'air,moiteur,air,r_has_property-1,test,Det,Def,non,
vivacité du poulain,vivacité,poulain,r_has_property-1,test,Det,Def,non,
rugosité de l'écorce,rugosité,écorce,r_has_property-1,test,Det,Def,non,
docilité de la jument,docilité,jument,r_has_property-1,test,Det,Def,non,
exiguïté de la chambre,exiguïté,chambre,r_has_property-1,test,Det,Def,non,
bonté d'un inconnu,bonté,inconnu,r_has_property-1,test,Det,NoDef,non,
luminosité de l'écran,luminosité,écran,r_has_property-1,test,Det,Def,non,
avarice de l'oncle,avarice,oncle,r_has_property-1,test,Det,Def,non,
sécheresse du sol,sécheresse,sol,r_has_property-1,test,Det,Def,non,
majesté du cerf,majesté,cerf,r_has_property-1,test,Det,Def,non,
simplicité de la méthode,simplicité,méthode,r_has_property-1,test,Det,Def,non,
voracité de la larve,voracité,larve,r_has_property-1,test,Det,Def,non,
laideur du bâtiment,laideur,bâtiment,r_has_property-1,test,Det,Def,non,
tranquillité du quartier,tranquillité,quartier,r_has_property-1,test,Det,Def,non,
précision de l'horloge,précision,horloge,r_has_property-1,test,Det,Def,non,
absurdité de la situation,absurdité,situation,r_has_property-1,test,Det,Def,non,
saleté du trottoir,saleté,trottoir,r_has_property-1,test,Det,Def,non,
originalité du projet,originalité,projet,r_has_property-1,test,Det,Def,non,
fraîcheur de la brise,fraîcheur,brise,r_has_property-1,test,Det,Def,non,
justesse de la note,justesse,note,r_has_property-1,test,Det,Def,non,
puissance de la machine,puissance,machine,r_has_property-1,test,Det,Def,non,
